,Unnamed: 0,year,Season_type,PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,AST_TOV,STL_TOV
0,468,2012-13,Playoffs,2544,1,LeBron James,1610612748,MIA,23,960,212,432,0.491,36,96,0.375,136,175,0.777,37,156,193,152,41,18,70,43,596,2.17,0.59
1,469,2012-13,Playoffs,2225,2,Tony Parker,1610612759,SAS,21,765,167,365,0.458,11,31,0.355,87,112,0.777,14,54,68,146,24,3,53,26,432,2.75,0.45
2,470,2012-13,Playoffs,1495,3,Tim Duncan,1610612759,SAS,21,735,151,321,0.47,0,1,0.0,79,98,0.806,54,160,214,40,18,34,42,53,381,0.95,0.43
3,471,2012-13,Playoffs,202331,4,Paul George,1610612754,IND,19,780,119,277,0.43,34,104,0.327,93,128,0.727,16,125,141,96,25,9,75,72,365,1.28,0.33
4,472,2012-13,Playoffs,2548,5,Dwyane Wade,1610612748,MIA,22,782,144,315,0.457,1,4,0.25,60,80,0.75,38,64,102,105,38,23,58,45,349,1.81,0.66
5,473,2012-13,Playoffs,2546,6,Carmelo Anthony,1610612752,NYK,12,481,126,310,0.406,17,57,0.298,77,87,0.885,11,68,79,19,13,2,31,46,346,0.61,0.42
6,474,2012-13,Playoffs,201142,7,Kevin Durant,1610612760,OKC,11,485,112,246,0.455,22,70,0.314,93,112,0.83,7,92,99,69,14,12,43,26,339,1.6,0.33
7,475,2012-13,Playoffs,201579,8,Roy Hibbert,1610612754,IND,19,694,120,235,0.511,0,0,0.0,83,103,0.806,90,98,188,26,3,37,43,74,323,0.6,0.07
8,476,2012-13,Playoffs,2561,9,David West,1610612754,IND,19,689,115,249,0.462,0,3,0.0,72,94,0.766,41,103,144,39,13,15,45,54,302,0.87,0.29
9,477,2012-13,Playoffs,202695,10,Kawhi Leonard,1610612759,SAS,21,775,115,211,0.545,23,59,0.39,31,49,0.633,50,140,190,22,37,11,23,40,284,0.96,1.61
10,478,2012-13,Playoffs,201939,11,Stephen Curry,1610612744,GSW,12,497,102,235,0.434,42,106,0.396,35,38,0.921,5,41,46,97,20,2,40,35,281,2.42,0.5
11,479,2012-13,Playoffs,2547,12,Chris Bosh,1610612748,MIA,23,751,110,240,0.458,15,37,0.405,44,60,0.733,38,129,167,34,23,36,27,67,279,1.26,0.85
12,480,2012-13,Playoffs,201588,13,George Hill,1610612754,IND,18,685,83,207,0.401,34,95,0.358,63,76,0.829,5,62,67,77,22,4,40,41,263,1.93,0.55
13,481,2012-13,Playoffs,2216,14,Zach Randolph,1610612763,MEM,15,554,99,215,0.46,0,1,0.0,63,94,0.67,59,91,150,24,10,7,31,52,261,0.77,0.32
14,482,2012-13,Playoffs,201188,15,Marc Gasol,1610612763,MEM,15,609,93,205,0.454,0,0,0.0,72,90,0.8,25,102,127,48,13,33,18,53,258,2.67,0.72
15,483,2012-13,Playoffs,201144,16,Mike Conley,1610612763,MEM,15,575,83,216,0.384,18,64,0.281,71,93,0.763,12,59,71,107,26,5,34,34,255,3.15,0.77
16,484,2012-13,Playoffs,1938,17,Manu Ginobili,1610612759,SAS,21,560,77,193,0.399,29,96,0.302,59,80,0.738,9,69,78,105,24,6,55,52,242,1.91,0.44
17,485,2012-13,Playoffs,951,18,Ray Allen,1610612748,MIA,23,573,74,172,0.43,39,96,0.406,47,54,0.87,13,51,64,29,12,3,27,42,234,1.07,0.44
18,486,2012-13,Playoffs,201980,19,Danny Green,1610612759,SAS,21,669,83,186,0.446,55,114,0.482,12,15,0.8,18,69,87,32,22,23,19,51,233,1.68,1.16
19,487,2012-13,Playoffs,201596,20,Mario Chalmers,1610612748,MIA,23,650,76,183,0.415,24,68,0.353,40,53,0.755,10,43,53,71,21,1,38,70,216,1.87,0.55
20,488,2012-13,Playoffs,101127,21,Jarrett Jack,1610612744,GSW,12,426,78,154,0.506,7,24,0.292,43,48,0.896,7,46,53,56,11,4,38,26,206,1.47,0.29
21,489,2012-13,Playoffs,2430,22,Carlos Boozer,1610612741,CHI,12,431,83,168,0.494,0,1,0.0,31,45,0.689,35,80,115,18,10,1,29,36,197,0.62,0.34
22,490,2012-13,Playoffs,101126,23,Nate Robinson,1610612741,CHI,12,404,71,163,0.436,22,65,0.338,31,41,0.756,6,26,32,53,12,2,32,38,195,1.66,0.38
23,491,2012-13,Playoffs,203084,24,Harrison Barnes,1610612744,GSW,12,461,72,162,0.444,19,52,0.365,30,35,0.857,18,59,77,15,7,5,16,33,193,0.94,0.44
24,492,2012-13,Playoffs,202691,25,Klay Thompson,1610612744,GSW,12,495,76,174,0.437,25,59,0.424,5,6,0.833,9,46,55,22,12,7,24,44,182,0.92,0.5
25,493,2012-13,Playoffs,202362,26,Lance Stephenson,1610612754,IND,19,673,69,169,0.408,18,64,0.281,23,37,0.622,14,130,144,63,23,2,36,47,179,1.75,0.64
26,494,2012-13,Playoffs,101109,27,Raymond Felton,1610612752,NYK,12,454,72,162,0.444,9,28,0.321,16,24,0.667,17,24,41,56,20,5,20,26,169,2.8,1.0
27,495,2012-13,Playoffs,202710,28,Jimmy Butler,1610612741,CHI,12,490,50,115,0.435,15,37,0.405,45,55,0.818,9,53,62,32,15,6,16,26,160,2.0,0.94
28,496,2012-13,Playoffs,201935,29,James Harden,1610612745,HOU,6,243,45,115,0.391,15,44,0.341,53,66,0.803,5,35,40,27,12,6,27,18,158,1.0,0.44
29,497,2012-13,Playoffs,2747,30,JR Smith,1610612752,NYK,11,351,54,163,0.331,18,66,0.273,31,43,0.721,6,46,52,15,11,5,20,27,157,0.75,0.55
30,498,2012-13,Playoffs,201572,31,Brook Lopez,1610612751,BKN,7,263,58,123,0.472,1,1,1.0,39,44,0.886,29,23,52,10,6,21,16,20,156,0.63,0.38
31,499,2012-13,Playoffs,2755,32,Kevin Martin,1610612760,OKC,11,323,49,129,0.38,17,46,0.37,39,43,0.907,2,32,34,14,7,3,11,18,154,1.27,0.64
32,500,2012-13,Playoffs,2754,32,Tony Allen,1610612763,MEM,15,422,54,125,0.432,2,8,0.25,44,58,0.759,37,54,91,27,30,5,19,48,154,1.42,1.58
33,501,2012-13,Playoffs,202704,34,Reggie Jackson,1610612760,OKC,11,368,57,119,0.479,13,43,0.302,26,29,0.897,4,50,54,40,5,6,21,34,153,1.91,0.24
34,502,2012-13,Playoffs,101114,35,Deron Williams,1610612751,BKN,7,292,45,106,0.425,17,43,0.395,37,45,0.822,1,21,22,59,7,4,21,17,144,2.81,0.33
35,503,2012-13,Playoffs,202390,36,Gary Neal,1610612759,SAS,21,390,52,135,0.385,23,66,0.348,16,16,1.0,1,44,45,15,3,1,13,33,143,1.15,0.23
36,504,2012-13,Playoffs,201171,37,Carl Landry,1610612744,GSW,12,246,52,100,0.52,0,0,0.0,38,52,0.731,22,40,62,17,7,2,19,29,142,0.9,0.37
37,505,2012-13,Playoffs,201586,38,Serge Ibaka,1610612760,OKC,11,366,59,135,0.437,4,9,0.444,19,24,0.792,39,53,92,8,0,33,7,38,141,1.14,0.0
38,506,2012-13,Playoffs,201573,39,Jerryd Bayless,1610612763,MEM,15,320,49,137,0.358,18,59,0.305,23,26,0.885,1,29,30,32,7,5,16,35,139,2.0,0.44
39,507,2012-13,Playoffs,101108,40,Chris Paul,1610612746,LAC,6,224,49,92,0.533,6,19,0.316,33,37,0.892,3,21,24,38,11,0,9,17,137,4.22,1.22
40,508,2012-13,Playoffs,201158,41,Marco Belinelli,1610612741,CHI,12,325,44,107,0.411,16,47,0.34,29,33,0.879,0,35,35,31,5,0,15,26,133,2.07,0.33
41,509,2012-13,Playoffs,202347,41,Quincy Pondexter,1610612763,MEM,15,357,46,94,0.489,24,53,0.453,17,28,0.607,9,29,38,11,11,2,9,31,133,1.22,1.22
42,510,2012-13,Playoffs,201149,43,Joakim Noah,1610612741,CHI,12,409,52,119,0.437,0,0,0.0,25,39,0.641,52,63,115,28,10,26,24,43,129,1.17,0.42
43,511,2012-13,Playoffs,202708,43,Norris Cole,1610612748,MIA,21,418,49,102,0.48,17,32,0.531,14,19,0.737,6,33,39,42,15,2,23,40,129,1.83,0.65
44,512,2012-13,Playoffs,2365,45,Chris Andersen,1610612748,MIA,20,303,46,57,0.807,0,0,0.0,36,49,0.735,32,44,76,3,9,22,11,53,128,0.27,0.82
45,513,2012-13,Playoffs,201951,45,Ty Lawson,1610612743,DEN,6,236,48,109,0.44,4,21,0.19,28,33,0.848,5,15,20,48,10,0,13,13,128,3.69,0.77
46,514,2012-13,Playoffs,201145,47,Jeff Green,1610612738,BOS,6,258,37,85,0.435,10,22,0.455,38,45,0.844,6,26,32,14,2,4,19,22,122,0.74,0.1
47,515,2012-13,Playoffs,201168,48,Tiago Splitter,1610612759,SAS,19,388,45,84,0.536,0,1,0.0,26,33,0.788,21,37,58,23,15,14,24,46,116,0.96,0.63
48,516,2012-13,Playoffs,1718,49,Paul Pierce,1610612738,BOS,6,255,39,106,0.368,11,41,0.268,26,29,0.897,4,30,34,32,5,3,32,21,115,1.0,0.16
49,517,2012-13,Playoffs,202697,50,Iman Shumpert,1610612752,NYK,12,337,41,100,0.41,18,42,0.429,12,14,0.857,18,54,72,16,13,3,14,36,112,1.14,0.93
50,518,2012-13,Playoffs,2617,51,Udonis Haslem,1610612748,MIA,22,357,51,86,0.593,0,0,0.0,8,14,0.571,26,54,80,6,15,5,14,54,110,0.43,1.07
51,519,2012-13,Playoffs,202718,52,Chandler Parsons,1610612745,HOU,6,238,42,93,0.452,16,40,0.4,9,14,0.643,7,32,39,22,1,2,18,19,109,1.22,0.06
52,520,2012-13,Playoffs,2738,53,Andre Iguodala,1610612743,DEN,6,243,38,76,0.5,14,29,0.483,18,25,0.72,9,39,48,32,12,2,17,9,108,1.88,0.71
53,521,2012-13,Playoffs,2419,54,Tayshaun Prince,1610612763,MEM,15,454,43,121,0.355,5,19,0.263,14,23,0.609,12,45,57,29,7,5,10,18,105,2.9,0.7
54,522,2012-13,Playoffs,2207,55,Joe Johnson,1610612751,BKN,7,271,43,103,0.417,10,39,0.256,8,9,0.889,4,18,22,19,8,0,12,13,104,1.58,0.67
55,523,2012-13,Playoffs,2203,56,Shane Battier,1610612748,MIA,22,392,27,93,0.29,26,88,0.295,23,28,0.821,9,29,38,12,5,6,5,49,103,2.4,1.0
56,524,2012-13,Playoffs,2746,57,Josh Smith,1610612737,ATL,6,199,39,90,0.433,5,20,0.25,19,36,0.528,10,35,45,21,11,3,16,21,102,1.31,0.69
57,525,2012-13,Playoffs,201143,58,Al Horford,1610612737,ATL,6,218,41,83,0.494,0,0,0.0,18,27,0.667,12,41,53,18,6,5,9,17,100,2.0,0.67
