,Unnamed: 0,year,Season_type,PLAYER_ID,RANK,PLAYER,TEAM_ID,TEAM,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,AST_TOV,STL_TOV
0,0,2012-13,Regular_Season,201142,1,Kevin Durant,1610612760,OKC,81,3119,731,1433,0.51,139,334,0.416,679,750,0.905,46,594,640,374,116,105,280,143,2280,1.34,0.41
1,1,2012-13,Regular_Season,977,2,Kobe Bryant,1610612747,LAL,78,3013,738,1595,0.463,132,407,0.324,525,626,0.839,66,367,433,469,106,25,287,173,2133,1.63,0.37
2,2,2012-13,Regular_Season,2544,3,LeBron James,1610612748,MIA,76,2877,765,1354,0.565,103,254,0.406,403,535,0.753,97,513,610,551,129,67,226,110,2036,2.44,0.57
3,3,2012-13,Regular_Season,201935,4,James Harden,1610612745,HOU,78,2985,585,1337,0.438,179,486,0.368,674,792,0.851,62,317,379,455,142,38,295,178,2023,1.54,0.48
4,4,2012-13,Regular_Season,2546,5,Carmelo Anthony,1610612752,NYK,67,2482,669,1489,0.449,157,414,0.379,425,512,0.83,134,326,460,171,52,32,175,205,1920,0.98,0.3
5,5,2012-13,Regular_Season,201566,6,Russell Westbrook,1610612760,OKC,82,2861,673,1535,0.438,97,300,0.323,460,575,0.8,111,317,428,607,145,24,273,189,1903,2.22,0.53
6,6,2012-13,Regular_Season,201939,7,Stephen Curry,1610612744,GSW,78,2983,626,1388,0.451,272,600,0.453,262,291,0.9,59,255,314,539,126,12,240,198,1786,2.25,0.53
7,7,2012-13,Regular_Season,101145,8,Monta Ellis,1610612749,MIL,82,3076,597,1436,0.416,94,328,0.287,289,374,0.773,45,271,316,496,169,36,254,164,1577,1.95,0.67
8,8,2012-13,Regular_Season,203081,9,Damian Lillard,1610612757,POR,82,3167,553,1288,0.429,185,503,0.368,271,321,0.844,42,215,257,531,74,19,243,172,1562,2.19,0.3
9,9,2012-13,Regular_Season,200746,10,LaMarcus Aldridge,1610612757,POR,74,2790,638,1318,0.484,2,14,0.143,282,348,0.81,175,495,670,192,62,91,143,187,1560,1.34,0.43
10,10,2012-13,Regular_Season,201942,11,DeMar DeRozan,1610612761,TOR,82,3013,548,1231,0.445,34,120,0.283,355,427,0.831,48,272,320,204,76,24,151,173,1485,1.35,0.5
11,11,2012-13,Regular_Season,101114,12,Deron Williams,1610612751,BKN,78,2842,495,1124,0.44,169,447,0.378,317,369,0.859,29,203,232,604,75,30,218,194,1476,2.77,0.34
12,12,2012-13,Regular_Season,2548,13,Dwyane Wade,1610612748,MIA,69,2391,569,1093,0.521,17,66,0.258,308,425,0.725,86,258,344,352,128,56,194,140,1463,1.81,0.66
13,13,2012-13,Regular_Season,101135,14,David Lee,1610612744,GSW,79,2907,602,1160,0.519,0,4,0.0,255,320,0.797,218,668,886,279,67,22,207,246,1459,1.35,0.32
14,14,2012-13,Regular_Season,202689,15,Kemba Walker,1610612766,CHA,82,2859,526,1244,0.423,107,332,0.322,296,371,0.798,60,223,283,471,160,31,200,153,1455,2.35,0.8
15,15,2012-13,Regular_Season,2747,16,JR Smith,1610612752,NYK,80,2678,527,1249,0.422,155,436,0.356,237,311,0.762,64,361,425,218,100,24,134,226,1446,1.63,0.75
16,16,2012-13,Regular_Season,201933,17,Blake Griffin,1610612746,LAC,80,2598,577,1072,0.538,5,28,0.179,281,426,0.66,186,476,662,299,97,50,185,231,1440,1.62,0.52
17,17,2012-13,Regular_Season,201572,18,Brook Lopez,1610612751,BKN,74,2253,570,1094,0.521,0,1,0.0,297,392,0.758,208,304,512,70,33,154,131,152,1437,0.53,0.25
18,18,2012-13,Regular_Season,1718,19,Paul Pierce,1610612738,BOS,77,2575,476,1092,0.436,145,382,0.38,333,423,0.787,45,442,487,370,84,30,214,210,1430,1.73,0.39
19,19,2012-13,Regular_Season,201943,20,Brandon Jennings,1610612749,MIL,80,2897,497,1247,0.399,173,461,0.375,230,281,0.819,59,187,246,521,125,10,203,155,1397,2.57,0.62
20,20,2012-13,Regular_Season,2744,21,Al Jefferson,1610612762,UTA,78,2578,611,1236,0.494,2,17,0.118,167,217,0.77,156,564,720,164,80,89,105,170,1391,1.56,0.76
21,21,2012-13,Regular_Season,201950,22,Jrue Holiday,1610612755,PHI,78,2926,555,1288,0.431,91,247,0.368,182,242,0.752,89,240,329,625,123,32,292,170,1383,2.14,0.42
22,22,2012-13,Regular_Season,202331,23,Paul George,1610612754,IND,79,2972,493,1176,0.419,170,469,0.362,221,274,0.807,88,515,603,327,143,51,233,227,1377,1.4,0.61
23,23,2012-13,Regular_Season,200752,24,Rudy Gay,1610612761,TOR,75,2687,521,1253,0.416,84,260,0.323,240,295,0.814,99,362,461,202,113,53,198,182,1366,1.02,0.57
24,24,2012-13,Regular_Season,202691,25,Klay Thompson,1610612744,GSW,82,2936,508,1205,0.422,211,526,0.401,132,157,0.841,32,274,306,183,86,45,157,237,1359,1.17,0.55
25,25,2012-13,Regular_Season,2225,26,Tony Parker,1610612759,SAS,66,2174,519,995,0.522,24,68,0.353,279,330,0.845,18,180,198,499,54,6,170,92,1341,2.94,0.32
26,26,2012-13,Regular_Season,2746,27,Josh Smith,1610612737,ATL,76,2683,550,1182,0.465,61,201,0.303,166,321,0.517,133,506,639,321,94,136,226,175,1327,1.42,0.42
27,27,2012-13,Regular_Season,202681,28,Kyrie Irving,1610612739,CLE,59,2048,484,1070,0.452,109,279,0.391,248,290,0.855,34,182,216,350,89,21,191,146,1325,1.83,0.47
28,28,2012-13,Regular_Season,201583,29,Ryan Anderson,1610612740,NOH,81,2503,472,1115,0.423,213,557,0.382,152,180,0.844,191,328,519,97,42,31,97,179,1309,1.0,0.43
29,29,2012-13,Regular_Season,202328,30,Greg Monroe,1610612765,DET,81,2687,514,1058,0.486,0,4,0.0,270,392,0.689,236,541,777,281,105,55,234,190,1298,1.2,0.45
30,30,2012-13,Regular_Season,2730,31,Dwight Howard,1610612747,LAL,76,2722,470,813,0.578,1,6,0.167,355,721,0.492,251,694,945,108,84,186,225,291,1296,0.48,0.37
31,31,2012-13,Regular_Season,201143,32,Al Horford,1610612737,ATL,74,2756,576,1060,0.543,3,6,0.5,134,208,0.644,195,562,757,240,78,78,147,163,1289,1.63,0.53
32,32,2012-13,Regular_Season,2430,33,Carlos Boozer,1610612741,CHI,79,2546,544,1140,0.477,0,2,0.0,193,264,0.731,175,596,771,179,66,28,176,239,1281,1.02,0.38
33,33,2012-13,Regular_Season,202326,34,DeMarcus Cousins,1610612758,SAC,75,2289,482,1036,0.465,4,22,0.182,312,423,0.738,222,524,746,199,108,55,225,269,1280,0.88,0.48
34,34,2012-13,Regular_Season,2037,35,Jamal Crawford,1610612746,LAC,76,2230,445,1016,0.438,149,396,0.376,216,248,0.871,22,106,128,193,79,13,146,71,1255,1.32,0.54
35,35,2012-13,Regular_Season,201564,35,O.J. Mayo,1610612742,DAL,82,2913,461,1026,0.449,142,349,0.407,191,233,0.82,36,255,291,361,93,23,210,195,1255,1.72,0.44
36,36,2012-13,Regular_Season,2561,37,David West,1610612754,IND,73,2435,502,1009,0.498,4,19,0.211,242,315,0.768,145,418,563,213,74,69,157,149,1250,1.36,0.47
37,37,2012-13,Regular_Season,2736,38,Luol Deng,1610612741,CHI,75,2903,466,1093,0.426,75,233,0.322,230,282,0.816,162,314,476,222,81,32,144,105,1237,1.54,0.56
38,38,2012-13,Regular_Season,2547,39,Chris Bosh,1610612748,MIA,74,2454,485,907,0.535,21,74,0.284,241,302,0.798,131,370,501,123,66,101,128,168,1232,0.96,0.52
39,39,2012-13,Regular_Season,1495,40,Tim Duncan,1610612759,SAS,69,2078,490,976,0.502,2,7,0.286,245,300,0.817,124,562,686,184,50,183,147,117,1227,1.25,0.34
40,40,2012-13,Regular_Season,201951,41,Ty Lawson,1610612743,DEN,73,2513,448,971,0.461,85,232,0.366,235,311,0.756,36,162,198,501,107,8,182,135,1216,2.75,0.59
41,41,2012-13,Regular_Season,101108,42,Chris Paul,1610612746,LAC,70,2335,412,856,0.481,76,232,0.328,286,323,0.885,53,209,262,678,169,10,159,143,1186,4.26,1.06
42,42,2012-13,Regular_Season,202718,43,Chandler Parsons,1610612745,HOU,76,2758,456,939,0.486,152,395,0.385,113,155,0.729,79,325,404,269,75,32,147,148,1177,1.83,0.51
43,43,2012-13,Regular_Season,2207,44,Joe Johnson,1610612751,BKN,72,2642,445,1052,0.423,148,395,0.375,132,161,0.82,53,165,218,253,49,14,123,99,1170,2.06,0.4
